pt	en	es	ar	ko	ja	zh	hi	id	ru
Reflexao inicial (ms)	Early reflection (ms)	Reflexión inicial (ms)	الانعكاس المبكر (ms)	초기 반사 (ms)	初期反射 (ms)	早期反射 (ms)	प्रारंभिक परावर्तन (ms)	Refleksi awal (ms)	Ранние отражения (ms)
Difusao (%)	Diffusion (%)	Difusión (%)	الانتشار (%)	확산 (%)	拡散 (%)	扩散 (%)	डिफ़्यूज़न (%)	Difusi (%)	Диффузия (%)
Decaimento (s)	Decay (s)	Decaimiento (s)	الاضمحلال (s)	감쇠 (s)	減衰 (s)	衰减 (s)	क्षय (s)	Peluruhan (s)	Затухание (s)
Stereo Mixer · Mixer estereo	Stereo Mixer	Stereo Mixer · Mezclador estéreo	Stereo Mixer · مازج ستيريو	Stereo Mixer · 스테레오 믹서	Stereo Mixer · ステレオミキサー	Stereo Mixer · 立体声混音器	Stereo Mixer · स्टीरियो मिक्सर	Stereo Mixer · Mixer stereo	Stereo Mixer · Стереомикшер
Nivel esquerdo (%)	Left level (%)	Nivel izquierdo (%)	المستوى الأيسر (%)	왼쪽 레벨 (%)	左レベル (%)	左电平 (%)	बायाँ लेवल (%)	Level kiri (%)	Левый уровень (%)
Nivel direito (%)	Right level (%)	Nivel derecho (%)	المستوى الأيمن (%)	오른쪽 레벨 (%)	右レベル (%)	右电平 (%)	दायाँ लेवल (%)	Level kanan (%)	Правый уровень (%)
Panorama	Pan	Panorámica	توزيع الصوت	팬	パン	声像	पैन	Pan	Панорама
Tone · Gerador de tons	Tone · Tone generator	Tone · Generador de tonos	Tone · مولد النغمات	Tone · 톤 생성기	Tone · トーンジェネレーター	Tone · 音调生成器	Tone · टोन जनरेटर	Tone · Generator nada	Tone · Генератор тонов
Tom 1 (Hz)	Tone 1 (Hz)	Tono 1 (Hz)	النغمة 1 (Hz)	톤 1 (Hz)	トーン 1 (Hz)	音调 1 (Hz)	टोन 1 (Hz)	Nada 1 (Hz)	Тон 1 (Hz)
Tom 2 (Hz)	Tone 2 (Hz)	Tono 2 (Hz)	النغمة 2 (Hz)	톤 2 (Hz)	トーン 2 (Hz)	音调 2 (Hz)	टोन 2 (Hz)	Nada 2 (Hz)	Тон 2 (Hz)
Tom 3 (Hz)	Tone 3 (Hz)	Tono 3 (Hz)	النغمة 3 (Hz)	톤 3 (Hz)	トーン 3 (Hz)	音调 3 (Hz)	टोन 3 (Hz)	Nada 3 (Hz)	Тон 3 (Hz)
Tom 4 (Hz)	Tone 4 (Hz)	Tono 4 (Hz)	النغمة 4 (Hz)	톤 4 (Hz)	トーン 4 (Hz)	音调 4 (Hz)	टोन 4 (Hz)	Nada 4 (Hz)	Тон 4 (Hz)
Tom 5 (Hz)	Tone 5 (Hz)	Tono 5 (Hz)	النغمة 5 (Hz)	톤 5 (Hz)	トーン 5 (Hz)	音调 5 (Hz)	टोन 5 (Hz)	Nada 5 (Hz)	Тон 5 (Hz)
Nivel (%)	Level (%)	Nivel (%)	المستوى (%)	레벨 (%)	レベル (%)	电平 (%)	लेवल (%)	Level (%)	Уровень (%)
Quadrado arredondado	Rounded square	Cuadrado redondeado	مربع مستدير الزوايا	둥근 사각형	角丸四角形	圆角正方形	गोल कोनों वाला वर्ग	Persegi sudut bulat	Скруглённый квадрат
Cruz	Cross	Cruz	صليب	십자	十字	十字	क्रॉस	Silang	Крест
Setor	Sector	Sector	قطاع	부채꼴	扇形	扇形	सेक्टर	Sektor	Сектор
Triangulo reto	Right triangle	Triángulo rectángulo	مثلث قائم الزاوية	직각삼각형	直角三角形	直角三角形	समकोण त्रिभुज	Segitiga siku-siku	Прямоугольный треугольник
Crescente	Crescent	Media luna	هلال	초승달	三日月	月牙	अर्धचंद्र	Bulan sabit	Полумесяц
Balao	Speech bubble	Globo de diálogo	فقاعة كلام	말풍선	吹き出し	对话气泡	स्पीच बबल	Balon kata	Выноска
Pizza	Pie	Pastel	فطيرة	파이	パイ	饼形	पाई	Pai	Пирог
Cursor seta	Arrow cursor	Cursor de flecha	مؤشر السهم	화살표 커서	矢印カーソル	箭头光标	तीर कर्सर	Kursor panah	Курсор-стрелка
Cursor mao	Hand cursor	Cursor de mano	مؤشر اليد	손 모양 커서	手のカーソル	手形光标	हाथ कर्सर	Kursor tangan	Курсор-рука
nos por id	nodes by id	nodos por id	العقد حسب id	id별 노드	idごとのノード	按 id 的节点	id के अनुसार नोड	node berdasarkan id	узлы по id
Melhorar	Enhance	Mejorar	تحسين	향상	高画質化	增强	बेहतर करें	Tingkatkan	Улучшить
Aprender	Learn	Aprender	تعلّم	배우기	学ぶ	学习	सीखें	Belajar	Обучение
Veja o que a galera está criando	See what people are creating	Mira lo que la gente está creando	شاهد ما يصنعه الآخرون	다른 사람들이 만드는 작품 보기	みんなの作品を見る	看看大家在创作什么	देखें लोग क्या बना रहे हैं	Lihat apa yang sedang dibuat orang	Посмотрите, что создают другие
Poste o seu projeto, responda e reposte	Post your project, reply and repost	Publica tu proyecto, responde y republica	انشر مشروعك وردّ وأعد النشر	프로젝트를 올리고 답글과 리포스트를 하세요	プロジェクトを投稿、返信、リポスト	发布你的项目，回复和转发	अपना प्रोजेक्ट पोस्ट करें, जवाब दें और रीपोस्ट करें	Unggah proyekmu, balas, dan posting ulang	Публикуйте проект, отвечайте и делайте репост
Seu post	Your post	Tu post	منشورك	내 게시물	あなたの投稿	你的帖子	आपकी पोस्ट	Postinganmu	Ваш пост
Criar conta	Create account	Crear cuenta	إنشاء حساب	계정 만들기	アカウント作成	创建账号	खाता बनाएं	Buat akun	Создать аккаунт
Posts de	Posts by	Posts de	منشورات	게시물:	投稿:	帖子：	पोस्ट:	Postingan dari	Посты:
Ver todos	See all	Ver todos	عرض الكل	모두 보기	すべて表示	查看全部	सभी देखें	Lihat semua	Показать все
Ver respostas	View replies	Ver respuestas	عرض الردود	답글 보기	返信を見る	查看回复	जवाब देखें	Lihat balasan	Смотреть ответы
projeto	project	proyecto	مشروع	프로젝트	プロジェクト	个项目	प्रोजेक्ट	proyek	проект
projetos	projects	proyectos	مشاريع	프로젝트	プロジェクト	个项目	प्रोजेक्ट	proyek	проектов
Copiar efeitos	Copy effects	Copiar efectos	نسخ التأثيرات	효과 복사	エフェクトをコピー	复制效果	इफ़ेक्ट कॉपी करें	Salin efek	Копировать эффекты
Colar efeitos	Paste effects	Pegar efectos	لصق التأثيرات	효과 붙여넣기	エフェクトを貼り付け	粘贴效果	इफ़ेक्ट पेस्ट करें	Tempel efek	Вставить эффекты
Efeitos copiados	Effects copied	Efectos copiados	تم نسخ التأثيرات	효과를 복사했습니다	エフェクトをコピーしました	已复制效果	इफ़ेक्ट कॉपी हो गए	Efek disalin	Эффекты скопированы
Efeitos colados	Effects pasted	Efectos pegados	تم لصق التأثيرات	효과를 붙여넣었습니다	エフェクトを貼り付けました	已粘贴效果	इफ़ेक्ट पेस्ट हो गए	Efek ditempel	Эффекты вставлены
Nada para copiar	Nothing to copy	Nada para copiar	لا شيء للنسخ	복사할 항목이 없습니다	コピーするものがありません	没有可复制的内容	कॉपी करने को कुछ नहीं	Tidak ada yang disalin	Нечего копировать
Copie os efeitos de outra camada primeiro	Copy effects from another layer first	Copia primero los efectos de otra capa	انسخ التأثيرات من طبقة أخرى أولًا	먼저 다른 레이어의 효과를 복사하세요	先に別のレイヤーのエフェクトをコピーしてください	请先复制另一图层的效果	पहले किसी दूसरी लेयर के इफ़ेक्ट कॉपी करें	Salin efek dari layer lain dulu	Сначала скопируйте эффекты другого слоя
Esta camada ainda nao tem efeitos	This layer has no effects yet	Esta capa aún no tiene efectos	لا تحتوي هذه الطبقة على تأثيرات بعد	이 레이어에는 아직 효과가 없습니다	このレイヤーにはまだエフェクトがありません	该图层还没有效果	इस लेयर में अभी कोई इफ़ेक्ट नहीं है	Layer ini belum punya efek	У этого слоя пока нет эффектов
Apagar todos os projetos	Delete all projects	Borrar todos los proyectos	حذف جميع المشاريع	모든 프로젝트 삭제	すべてのプロジェクトを削除	删除所有项目	सभी प्रोजेक्ट हटाएं	Hapus semua proyek	Удалить все проекты
Apagar todos os projetos?	Delete all projects?	¿Borrar todos los proyectos?	حذف جميع المشاريع؟	모든 프로젝트를 삭제할까요?	すべてのプロジェクトを削除しますか？	删除所有项目？	सभी प्रोजेक्ट हटाएं?	Hapus semua proyek?	Удалить все проекты?
Apagar todos	Delete all	Borrar todos	حذف الكل	모두 삭제	すべて削除	全部删除	सभी हटाएं	Hapus semua	Удалить все
Escolha um arquivo .aurea	Choose an .aurea file	Elige un archivo .aurea	اختر ملف ‎.aurea	.aurea 파일을 선택하세요	.aurea ファイルを選んでください	请选择 .aurea 文件	.aurea फ़ाइल चुनें	Pilih file .aurea	Выберите файл .aurea
Intensidade da IA	AI strength	Intensidad de la IA	قوة الذكاء الاصطناعي	AI 강도	AIの強さ	AI 强度	AI की तीव्रता	Kekuatan AI	Сила ИИ
Nitidez (não é IA)	Sharpness (not AI)	Nitidez (no es IA)	الحدة (ليست ذكاءً اصطناعيًا)	선명도 (AI 아님)	シャープネス（AIではありません）	锐度（非 AI）	शार्पनेस (AI नहीं)	Ketajaman (bukan AI)	Резкость (не ИИ)
Preparando modelo de IA…	Preparing AI model…	Preparando modelo de IA…	جارٍ تجهيز نموذج الذكاء الاصطناعي…	AI 모델 준비 중…	AIモデルを準備中…	正在准备 AI 模型…	AI मॉडल तैयार हो रहा है…	Menyiapkan model AI…	Подготовка модели ИИ…
Motor de IA indisponível neste aparelho	AI engine unavailable on this device	Motor de IA no disponible en este dispositivo	محرك الذكاء الاصطناعي غير متاح على هذا الجهاز	이 기기에서는 AI 엔진을 사용할 수 없습니다	この端末ではAIエンジンを使えません	此设备不支持 AI 引擎	इस डिवाइस पर AI इंजन उपलब्ध नहीं है	Mesin AI tidak tersedia di perangkat ini	ИИ-движок недоступен на этом устройстве
Real-ESRGAN • processamento no aparelho	Real-ESRGAN • on-device processing	Real-ESRGAN • procesamiento en el dispositivo	Real-ESRGAN • معالجة على الجهاز	Real-ESRGAN • 기기 내 처리	Real-ESRGAN • 端末内で処理	Real-ESRGAN • 设备端处理	Real-ESRGAN • डिवाइस पर प्रोसेसिंग	Real-ESRGAN • diproses di perangkat	Real-ESRGAN • обработка на устройстве
IA ainda indisponível neste aparelho	AI not yet available on this device	IA aún no disponible en este dispositivo	الذكاء الاصطناعي غير متاح بعد على هذا الجهاز	이 기기에서는 아직 AI를 사용할 수 없습니다	この端末ではまだAIを使えません	此设备暂不支持 AI	इस डिवाइस पर AI अभी उपलब्ध नहीं है	AI belum tersedia di perangkat ini	ИИ пока недоступен на этом устройстве
1×	1×	1×	1×	1×	1×	1×	1×	1×	1×
Tela cheia	Full screen	Pantalla completa	ملء الشاشة	전체 화면	全画面	全屏	फ़ुल स्क्रीन	Layar penuh	Во весь экран
Sair da tela cheia	Exit full screen	Salir de pantalla completa	الخروج من ملء الشاشة	전체 화면 종료	全画面を終了	退出全屏	फ़ुल स्क्रीन से बाहर निकलें	Keluar dari layar penuh	Выйти из полноэкранного режима
Color Balance	Color Balance	Balance de color	توازن الألوان	색상 균형	カラーバランス	色彩平衡	कलर बैलेंस	Keseimbangan Warna	Цветовой баланс
Selective Color	Selective Color	Corrección selectiva	اللون الانتقائي	선택 색상	特定色域の選択	可选颜色	चयनात्मक रंग	Warna Selektif	Выборочная коррекция цвета
Channel Mixer	Channel Mixer	Mezclador de canales	خالط القنوات	채널 혼합	チャンネルミキサー	通道混合器	चैनल मिक्सर	Mixer Kanal	Микширование каналов
Photo Filter	Photo Filter	Filtro de fotografía	فلتر الصورة	포토 필터	写真フィルター	照片滤镜	फ़ोटो फ़िल्टर	Filter Foto	Фотофильтр
Gradient Map	Gradient Map	Mapa de degradado	خريطة التدرج	그레이디언트 맵	グラデーションマップ	渐变映射	ग्रेडिएंट मैप	Peta Gradien	Карта градиента
Brightness & Contrast	Brightness & Contrast	Brillo y contraste	السطوع والتباين	명도 및 대비	明るさ・コントラスト	亮度和对比度	ब्राइटनेस और कंट्रास्ट	Kecerahan & Kontras	Яркость и контраст
Color Tune	Color Tune	Ajuste de color	ضبط الألوان	색상 조정	カラーチューン	色彩调节	कलर ट्यून	Penyetelan Warna	Тонкая настройка цвета
Shadow Red Balance	Shadow Red Balance	Balance de rojo en sombras	توازن الأحمر في الظلال	그림자 빨강 균형	シャドウの赤バランス	阴影红色平衡	छाया में लाल संतुलन	Keseimbangan merah bayangan	Баланс красного в тенях
Shadow Green Balance	Shadow Green Balance	Balance de verde en sombras	توازن الأخضر في الظلال	그림자 초록 균형	シャドウの緑バランス	阴影绿色平衡	छाया में हरा संतुलन	Keseimbangan hijau bayangan	Баланс зелёного в тенях
Shadow Blue Balance	Shadow Blue Balance	Balance de azul en sombras	توازن الأزرق في الظلال	그림자 파랑 균형	シャドウの青バランス	阴影蓝色平衡	छाया में नीला संतुलन	Keseimbangan biru bayangan	Баланс синего в тенях
Midtone Red Balance	Midtone Red Balance	Balance de rojo en medios tonos	توازن الأحمر في الدرجات المتوسطة	중간톤 빨강 균형	中間調の赤バランス	中间调红色平衡	मिडटोन में लाल संतुलन	Keseimbangan merah nada tengah	Баланс красного в полутонах
Midtone Green Balance	Midtone Green Balance	Balance de verde en medios tonos	توازن الأخضر في الدرجات المتوسطة	중간톤 초록 균형	中間調の緑バランス	中间调绿色平衡	मिडटोन में हरा संतुलन	Keseimbangan hijau nada tengah	Баланс зелёного в полутонах
Midtone Blue Balance	Midtone Blue Balance	Balance de azul en medios tonos	توازن الأزرق في الدرجات المتوسطة	중간톤 파랑 균형	中間調の青バランス	中间调蓝色平衡	मिडटोन में नीला संतुलन	Keseimbangan biru nada tengah	Баланс синего в полутонах
Highlight Red Balance	Highlight Red Balance	Balance de rojo en luces	توازن الأحمر في الإضاءات	하이라이트 빨강 균형	ハイライトの赤バランス	高光红色平衡	हाइलाइट में लाल संतुलन	Keseimbangan merah sorotan	Баланс красного в светах
Highlight Green Balance	Highlight Green Balance	Balance de verde en luces	توازن الأخضر في الإضاءات	하이라이트 초록 균형	ハイライトの緑バランス	高光绿色平衡	हाइलाइट में हरा संतुलन	Keseimbangan hijau sorotan	Баланс зелёного в светах
Highlight Blue Balance	Highlight Blue Balance	Balance de azul en luces	توازن الأزرق في الإضاءات	하이라이트 파랑 균형	ハイライトの青バランス	高光蓝色平衡	हाइलाइट में नीला संतुलन	Keseimbangan biru sorotan	Баланс синего в светах
Preserve Luminosity	Preserve Luminosity	Conservar luminosidad	الحفاظ على الإضاءة	광도 유지	輝度を保持	保持明度	ल्यूमिनोसिटी बनाए रखें	Pertahankan luminositas	Сохранять яркость
Colors	Colors	Colores	الألوان	색상	カラー	颜色	रंग	Warna	Цвета
Cyan	Cyan	Cian	سماوي	시안	シアン	青色	सियान	Sian	Голубой
Magenta	Magenta	Magenta	أرجواني	마젠타	マゼンタ	洋红	मैजेंटा	Magenta	Пурпурный
Yellow	Yellow	Amarillo	أصفر	노랑	イエロー	黄色	पीला	Kuning	Жёлтый
Black	Black	Negro	أسود	검정	ブラック	黑色	काला	Hitam	Чёрный
Method	Method	Método	الطريقة	방식	方法	方法	विधि	Metode	Метод
Reds	Reds	Rojos	الأحمر	빨강 계열	レッド系	红色系	लाल रंग	Merah	Красные
Yellows	Yellows	Amarillos	الأصفر	노랑 계열	イエロー系	黄色系	पीले रंग	Kekuningan	Жёлтые
Greens	Greens	Verdes	الأخضر	초록 계열	グリーン系	绿色系	हरे रंग	Hijau	Зелёные
Cyans	Cyans	Cianes	السماوي	시안 계열	シアン系	青色系	सियान रंग	Kesianan	Голубые
Blues	Blues	Azules	الأزرق	파랑 계열	ブルー系	蓝色系	नीले रंग	Biru	Синие
Magentas	Magentas	Magentas	الأرجواني	마젠타 계열	マゼンタ系	洋红色系	मैजेंटा रंग	Kemagentaan	Пурпурные
Whites	Whites	Blancos	الأبيض	흰색 계열	ホワイト系	白色系	सफ़ेद रंग	Putih	Белые
Neutrals	Neutrals	Neutros	المحايدة	중성색	中間色系	中性色	न्यूट्रल रंग	Netral	Нейтральные
Blacks	Blacks	Negros	الأسود	검정 계열	ブラック系	黑色系	काले रंग	Kehitaman	Чёрные
Relative	Relative	Relativo	نسبي	상대	相対	相对	सापेक्ष	Relatif	Относительный
Absolute	Absolute	Absoluto	مطلق	절대	絶対	绝对	निरपेक्ष	Absolut	Абсолютный
Red-Red	Red-Red	Rojo-Rojo	أحمر-أحمر	빨강-빨강	赤-赤	红-红	लाल-लाल	Merah-Merah	Красный-Красный
Red-Green	Red-Green	Rojo-Verde	أحمر-أخضر	빨강-초록	赤-緑	红-绿	लाल-हरा	Merah-Hijau	Красный-Зелёный
Red-Blue	Red-Blue	Rojo-Azul	أحمر-أزرق	빨강-파랑	赤-青	红-蓝	लाल-नीला	Merah-Biru	Красный-Синий
Red-Const	Red-Const	Rojo-Const.	أحمر-ثابت	빨강-상수	赤-定数	红-常量	लाल-स्थिरांक	Merah-Konst	Красный-Константа
Green-Red	Green-Red	Verde-Rojo	أخضر-أحمر	초록-빨강	緑-赤	绿-红	हरा-लाल	Hijau-Merah	Зелёный-Красный
Green-Green	Green-Green	Verde-Verde	أخضر-أخضر	초록-초록	緑-緑	绿-绿	हरा-हरा	Hijau-Hijau	Зелёный-Зелёный
Green-Blue	Green-Blue	Verde-Azul	أخضر-أزرق	초록-파랑	緑-青	绿-蓝	हरा-नीला	Hijau-Biru	Зелёный-Синий
Green-Const	Green-Const	Verde-Const.	أخضر-ثابت	초록-상수	緑-定数	绿-常量	हरा-स्थिरांक	Hijau-Konst	Зелёный-Константа
Blue-Red	Blue-Red	Azul-Rojo	أزرق-أحمر	파랑-빨강	青-赤	蓝-红	नीला-लाल	Biru-Merah	Синий-Красный
Blue-Green	Blue-Green	Azul-Verde	أزرق-أخضر	파랑-초록	青-緑	蓝-绿	नीला-हरा	Biru-Hijau	Синий-Зелёный
Blue-Blue	Blue-Blue	Azul-Azul	أزرق-أزرق	파랑-파랑	青-青	蓝-蓝	नीला-नीला	Biru-Biru	Синий-Синий
Blue-Const	Blue-Const	Azul-Const.	أزرق-ثابت	파랑-상수	青-定数	蓝-常量	नीला-स्थिरांक	Biru-Konst	Синий-Константа
Monochrome	Monochrome	Monocromo	أحادي اللون	흑백	モノクロ	单色	मोनोक्रोम	Monokrom	Монохромный
Temperature	Temperature	Temperatura	الحرارة	온도	色温度	色温	तापमान	Suhu	Температура
Density	Density	Densidad	الكثافة	농도	適用量	浓度	घनत्व	Kepadatan	Плотность
Temperature (K)	Temperature (K)	Temperatura (K)	درجة الحرارة (K)	색온도 (K)	色温度 (K)	色温 (K)	तापमान (K)	Suhu (K)	Температура (K)
Blending Mode	Blending Mode	Modo de fusión	وضع المزج	혼합 모드	描画モード	混合模式	ब्लेंडिंग मोड	Mode campuran	Режим наложения
Soft Light	Soft Light	Luz suave	ضوء ناعم	소프트 라이트	ソフトライト	柔光	सॉफ़्ट लाइट	Cahaya lembut	Мягкий свет
Overlay	Overlay	Superponer	تراكب	오버레이	オーバーレイ	叠加	ओवरले	Overlay	Перекрытие
Multiply	Multiply	Multiplicar	ضرب	곱하기	乗算	正片叠底	मल्टीप्लाई	Kalikan	Умножение
Luminosity	Luminosity	Luminosidad	الإضاءة	광도	輝度	明度	ल्यूमिनोसिटी	Luminositas	Яркость
Use Midtones	Use Midtones	Usar medios tonos	استخدام الدرجات المتوسطة	중간톤 사용	中間調を使用	使用中间调	मिडटोन इस्तेमाल करें	Gunakan nada tengah	Использовать полутона
Midpoint	Midpoint	Punto medio	نقطة المنتصف	중간점	中間点	中点	मध्य बिंदु	Titik tengah	Средняя точка
Contrast	Contrast	Contraste	التباين	대비	コントラスト	对比度	कंट्रास्ट	Kontras	Контраст
Lift Hue	Lift Hue	Tono de lift	تدرج الرفع	리프트 색조	リフトの色相	提升色相	लिफ़्ट ह्यू	Rona lift	Оттенок лифта
Lift Saturation	Lift Saturation	Saturación de lift	تشبع الرفع	리프트 채도	リフトの彩度	提升饱和度	लिफ़्ट सैचुरेशन	Saturasi lift	Насыщенность лифта
Lift Luminance	Lift Luminance	Luminancia de lift	إضاءة الرفع	리프트 휘도	リフトの輝度	提升亮度	लिफ़्ट ल्यूमिनेंस	Luminans lift	Яркость лифта
Gamma Hue	Gamma Hue	Tono de gamma	تدرج غاما	감마 색조	ガンマの色相	伽马色相	गामा ह्यू	Rona gamma	Оттенок гаммы
Gamma Saturation	Gamma Saturation	Saturación de gamma	تشبع غاما	감마 채도	ガンマの彩度	伽马饱和度	गामा सैचुरेशन	Saturasi gamma	Насыщенность гаммы
Gamma Luminance	Gamma Luminance	Luminancia de gamma	إضاءة غاما	감마 휘도	ガンマの輝度	伽马亮度	गामा ल्यूमिनेंस	Luminans gamma	Яркость гаммы
Gain Hue	Gain Hue	Tono de ganancia	تدرج الكسب	게인 색조	ゲインの色相	增益色相	गेन ह्यू	Rona gain	Оттенок усиления
Gain Saturation	Gain Saturation	Saturación de ganancia	تشبع الكسب	게인 채도	ゲインの彩度	增益饱和度	गेन सैचुरेशन	Saturasi gain	Насыщенность усиления
Gain Luminance	Gain Luminance	Luminancia de ganancia	إضاءة الكسب	게인 휘도	ゲインの輝度	增益亮度	गेन ल्यूमिनेंस	Luminans gain	Яркость усиления
Offset Hue	Offset Hue	Tono de desplazamiento	تدرج الإزاحة	오프셋 색조	オフセットの色相	偏移色相	ऑफ़सेट ह्यू	Rona offset	Оттенок смещения
Offset Saturation	Offset Saturation	Saturación de desplazamiento	تشبع الإزاحة	오프셋 채도	オフセットの彩度	偏移饱和度	ऑफ़सेट सैचुरेशन	Saturasi offset	Насыщенность смещения
Offset Luminance	Offset Luminance	Luminancia de desplazamiento	إضاءة الإزاحة	오프셋 휘도	オフセットの輝度	偏移亮度	ऑफ़सेट ल्यूमिनेंस	Luminans offset	Яркость смещения
Teal & Orange	Teal & Orange	Verde azulado y naranja	أزرق مخضر وبرتقالي	틸 & 오렌지	ティール&オレンジ	青橙色调	टील और ऑरेंज	Teal & Oranye	Бирюзовый и оранжевый
Anime	Anime	Anime	أنمي	애니메	アニメ	动漫	एनीमे	Anime	Аниме
PSD Soft	PSD Soft	PSD suave	PSD ناعم	PSD 소프트	PSDソフト	PSD 柔和	PSD सॉफ़्ट	PSD Lembut	Мягкий PSD
Warm Skin	Warm Skin	Piel cálida	بشرة دافئة	따뜻한 피부	暖かい肌	暖色肤色	गर्म त्वचा	Kulit Hangat	Тёплая кожа
Cyan Pop	Cyan Pop	Cian vivo	سماوي بارز	시안 팝	シアンポップ	青色跳色	सियान पॉप	Sian Menonjol	Яркий голубой
Warm Whites	Warm Whites	Blancos cálidos	أبيض دافئ	따뜻한 흰색	暖かい白	暖白	गर्म सफ़ेद	Putih Hangat	Тёплые белые
PSD Mix	PSD Mix	Mezcla PSD	مزج PSD	PSD 믹스	PSDミックス	PSD 混合	PSD मिक्स	Campuran PSD	Микс PSD
Black & White	Black & White	Blanco y negro	أبيض وأسود	블랙 & 화이트	白黒	黑白	ब्लैक एंड व्हाइट	Hitam Putih	Чёрно-белый
Cross Process	Cross Process	Proceso cruzado	معالجة متقاطعة	크로스 프로세스	クロスプロセス	交叉冲印	क्रॉस प्रोसेस	Proses Silang	Кросс-процесс
Warm Vintage	Warm Vintage	Vintage cálido	عتيق دافئ	따뜻한 빈티지	ウォームビンテージ	暖调复古	गर्म विंटेज	Vintage Hangat	Тёплый винтаж
Cool	Cool	Frío	بارد	차가운 톤	クール	冷调	ठंडा	Sejuk	Холодный
Warming Filter	Warming Filter	Filtro cálido	فلتر تدفئة	웜 필터	暖色系フィルター	加温滤镜	वार्मिंग फ़िल्टर	Filter Penghangat	Тёплый фильтр
Duotone	Duotone	Duotono	ثنائي اللون	듀오톤	ダブルトーン	双色调	ड्युओटोन	Duotone	Дуплекс
Tritone	Tritone	Tritono	ثلاثي اللون	트라이톤	トライトーン	三色调	ट्राइटोन	Tritone	Триплекс
PSD Contrast	PSD Contrast	Contraste PSD	تباين PSD	PSD 대비	PSDコントラスト	PSD 对比度	PSD कंट्रास्ट	Kontras PSD	Контраст PSD
Punch	Punch	Impacto	قوة	펀치	パンチ	冲击	पंच	Tajam	Панч
Faded	Faded	Desvaído	باهت	페이드	色あせ	褪色	फीका	Pudar	Выцветший
Pastel	Pastel	Pastel	باستيل	파스텔	パステル	粉彩	पेस्टल	Pastel	Пастель
Night	Night	Noche	ليل	밤	ナイト	夜晚	रात	Malam	Ночь
CC HDR	CC HDR	CC HDR	CC HDR	CC HDR	CC HDR	CC HDR	CC HDR	CC HDR	CC HDR
CC Azul teal	CC Teal Blue	CC Azul verdoso	CC أزرق مخضر	CC 틸 블루	CC ティールブルー	CC 青蓝	CC टील ब्लू	CC Biru Teal	CC Бирюзово-синий
CC Vintage quente	CC Warm Vintage	CC Vintage cálido	CC عتيق دافئ	CC 따뜻한 빈티지	CC ウォームビンテージ	CC 暖调复古	CC गर्म विंटेज	CC Vintage Hangat	CC Тёплый винтаж
CC Escuro contrastado	CC Dark Contrast	CC Oscuro contrastado	CC داكن متباين	CC 다크 콘트라스트	CC ダークコントラスト	CC 暗调高对比	CC डार्क कंट्रास्ट	CC Gelap Kontras	CC Тёмный контраст
CC Anime	CC Anime	CC Anime	CC أنمي	CC 애니메	CC アニメ	CC 动漫	CC एनीमे	CC Anime	CC Аниме
CC PSD suave	CC Soft PSD	CC PSD suave	CC PSD ناعم	CC PSD 소프트	CC PSDソフト	CC PSD 柔和	CC PSD सॉफ़्ट	CC PSD Lembut	CC Мягкий PSD
Empurra sombras, meios-tons e altas luzes em direção a vermelho, verde ou azul. Valores positivos puxam a faixa para o canal escolhido; preservar luminosidade mantém o brilho original.	Pushes shadows, midtones and highlights toward red, green or blue. Positive values pull the range toward the chosen channel; preserve luminosity keeps the original brightness.	Empuja sombras, medios tonos y luces hacia rojo, verde o azul. Los valores positivos llevan el rango hacia el canal elegido; conservar luminosidad mantiene el brillo original.	يدفع الظلال والدرجات المتوسطة والإضاءات نحو الأحمر أو الأخضر أو الأزرق. القيم الموجبة تسحب النطاق نحو القناة المختارة؛ والحفاظ على الإضاءة يُبقي السطوع الأصلي.	그림자, 중간톤, 하이라이트를 빨강, 초록, 파랑 쪽으로 밀어줍니다. 양수 값은 해당 범위를 선택한 채널 쪽으로 당기고, 광도 유지는 원래 밝기를 지킵니다.	シャドウ、中間調、ハイライトを赤・緑・青の方向へ寄せます。正の値でその範囲を選んだチャンネル側へ引き、輝度を保持すると元の明るさを保ちます。	将阴影、中间调和高光推向红、绿或蓝。正值把该范围拉向所选通道；保持明度会保留原始亮度。	छाया, मिडटोन और हाइलाइट को लाल, हरे या नीले की ओर धकेलता है। धनात्मक मान उस रेंज को चुने गए चैनल की ओर खींचते हैं; ल्यूमिनोसिटी बनाए रखने से मूल ब्राइटनेस बनी रहती है।	Mendorong bayangan, nada tengah, dan sorotan ke arah merah, hijau, atau biru. Nilai positif menarik rentang ke kanal yang dipilih; pertahankan luminositas menjaga kecerahan asli.	Сдвигает тени, полутона и света к красному, зелёному или синему. Положительные значения тянут диапазон к выбранному каналу; сохранение яркости оставляет исходную яркость.
